,RV_actual,RV_forecast_best,RV_forecast_ensemble
2017-04-11,3.744633525346484e-05,9.673587006848121e-05,8.108138986137989e-05
2017-04-12,2.3155715941897975e-05,8.479409350801821e-05,7.515303379237838e-05
2017-04-13,5.399320880590524e-05,7.20390165723848e-05,6.7826304916309e-05
2017-04-18,1.677909773545554e-05,9.989024095950512e-05,8.352416460771234e-05
2017-04-19,3.62127476850111e-05,6.606440885240687e-05,6.531352857722775e-05
2017-04-20,4.711013407563454e-05,8.418422335573033e-05,7.488566883198974e-05
2017-04-21,0.000205403234262,9.39297718971313e-05,8.077653736712177e-05
2017-04-24,1.853256789144964e-05,0.00023359301152943776,0.00016353421799845163
2017-04-25,1.7010850351008658e-05,6.619619641855624e-05,7.135609814535831e-05
2017-04-26,1.900228072110597e-05,6.485124730383336e-05,7.045803161256257e-05
2017-04-27,1.6151554446399137e-05,6.677909649040842e-05,7.102628770730132e-05
2017-04-28,1.6358469455960693e-05,6.47397437738901e-05,6.891154510727699e-05
2017-05-02,1.1244670969265884e-05,6.90232989182986e-05,6.729561450376437e-05
2017-05-03,2.0409099404650663e-05,6.441529170298571e-05,6.492633506619611e-05
2017-05-04,2.1683446955105707e-05,7.26678100443662e-05,6.937683193298852e-05
2017-05-05,3.403612590857198e-05,7.36863359901983e-05,6.995734087300319e-05
2017-05-08,1.194087109899749e-05,8.45906716132874e-05,7.635035476812231e-05
2017-05-09,1.24601746787023e-05,6.470755198900823e-05,6.548087808150787e-05
2017-05-10,4.579473037957539e-05,6.514844057501113e-05,6.559810475432841e-05
2017-05-11,1.3002443530359136e-05,9.448087777683774e-05,8.180645043996375e-05
2017-05-12,1.919204141227865e-05,6.514026193791395e-05,6.564273829129783e-05
2017-05-15,1.1290554219389606e-05,7.092716368445254e-05,6.839380314460485e-05
2017-05-16,6.384647303213813e-05,6.360300387611412e-05,6.392124461551446e-05
2017-05-17,7.906991353366045e-05,0.0001100858640801694,8.990685643806974e-05
2017-05-18,1.9473808137729433e-05,0.00012361223698862956,9.844104567190293e-05
2017-05-19,2.356533711084669e-05,6.956181791144931e-05,6.910968114237456e-05
2017-05-22,3.096253686846668e-05,7.297059342517033e-05,7.159307843618304e-05
2017-05-23,1.860856623730263e-05,7.935852233565148e-05,7.486256797084218e-05
2017-05-24,4.4082733472459915e-05,6.866329281665928e-05,6.797563903687375e-05
2017-05-25,2.8576184282050095e-05,9.129515019297625e-05,7.761013476673116e-05
2017-05-26,1.039922188707502e-05,7.721076467243898e-05,7.003571112742176e-05
2017-05-29,3.835192775416248e-05,6.0902439420019584e-05,6.105354303366507e-05
2017-05-30,5.404550402268219e-05,8.625925462823038e-05,7.498003849141005e-05
2017-05-31,2.4874423274523083e-05,9.987577617936143e-05,8.33777170217848e-05
2017-06-01,3.336217902690631e-05,7.401475720879454e-05,6.915046719438074e-05
2017-06-02,6.487355793989805e-06,8.177841602125624e-05,7.378794466504708e-05
2017-06-05,3.15835752396375e-05,5.740756467844528e-05,6.05919224207573e-05
2017-06-06,4.655063649255324e-05,8.03950076597303e-05,7.275181990802388e-05
2017-06-07,4.937147712846491e-05,9.406632882327273e-05,7.998177662856123e-05
2017-06-08,0.0001022375014022,9.656393115058962e-05,8.22544506126512e-05
2017-06-09,4.663471243399833e-05,0.0001433900819607689,0.00011041963170851284
2017-06-12,1.9736633962186396e-05,9.249756646694841e-05,8.411654139531917e-05
2017-06-13,3.766437547562441e-05,6.843158971288235e-05,7.076361684343595e-05
2017-06-14,8.274575022202202e-05,8.499311242966491e-05,7.950787480965599e-05
2017-06-15,4.3330028877761585e-05,0.00012554261503380126,0.00010343129315242313
2017-06-16,1.9051965888578955e-05,9.096048656785896e-05,8.275489938599789e-05
2017-06-19,2.1772359478377408e-05,6.92166288963597e-05,6.988822100148867e-05
2017-06-20,7.479231972449483e-05,7.171106907041893e-05,7.129682945973129e-05
2017-06-21,2.42241740400255e-05,0.000118992005437582,9.828083121844249e-05
2017-06-22,3.827126361188422e-05,7.465136418395272e-05,7.315507786865991e-05
2017-06-23,3.3667652702374016e-05,8.757694820757979e-05,8.011942040708504e-05
2017-06-26,6.410697101048419e-05,8.308725851258283e-05,7.778243177532644e-05
2017-06-27,7.10975262365564e-05,0.00010991310641021606,9.344098126644638e-05
2017-06-28,9.905321980371133e-05,0.00011672710224170665,9.786678453904117e-05
