,RVD_tot,RVW_tot,RVM_tot,logRVD_tot,logRVW_tot,logRVM_tot,RVD_pos_tot,RVD_neg_tot,RD_neg_tot,RW_neg_tot,RM_neg_tot,RQ_tot
2017-02-27,3.495196164593645e-05,3.0470077759474195e-05,4.445006934478996e-05,-10.261535963651045,-10.39876541296879,-10.021144035942811,2.4927174363100124e-05,1.0024787282836328e-05,0.0,-0.00017262922609977298,-3.7862670997072796e-05,7.591087896257418e-10
2017-02-28,2.6582283365740334e-05,3.173751906108166e-05,4.4688899572822526e-05,-10.535265602960996,-10.358011010348179,-10.015785418888369,1.9126221493990456e-05,7.456061871749879e-06,0.0,-0.0008447076571627375,0.0,5.193374822454604e-10
2017-03-01,0.00013682564244875428,5.0762717786385396e-05,4.839289378106241e-05,-8.89680312554057,-9.888348374660438,-9.936157577726519,0.00012770344688521656,9.122195563537744e-06,0.0,0.0,0.0,1.359963203034918e-08
2017-03-02,1.0827316213603299e-05,4.9717941318090585e-05,4.6769511332163174e-05,-11.433438338039714,-9.909144697688035,-9.970279034599148,5.024677635968159e-06,5.802638577635141e-06,-0.0005757843005395838,0.0,0.0,1.8695229398920294e-10
2017-03-03,5.4412653772908104e-05,5.271997148938844e-05,4.64077992363847e-05,-9.818913825031352,-9.850516208563256,-9.97804302586605,1.9656218978419483e-05,3.4756434794488625e-05,0.0,0.0,0.0,1.920214486003741e-09
2017-03-06,4.5204007384598395e-05,5.477038063712084e-05,4.7009812053038985e-05,-10.00432481610477,-9.81236100945533,-9.965154210957095,7.491193351238365e-06,3.7712814033360034e-05,-0.004182516722847498,0.0,0.0,1.3287346665801429e-09
2017-03-07,1.3991643739991189e-05,5.2252252711971006e-05,4.667485444475301e-05,-11.177050282265153,-9.859427553944032,-9.972304987025485,6.213002590642492e-06,7.778641149348696e-06,-0.0022250302821477186,0.0,0.0,2.2815366166205651e-10
2017-03-08,3.5477556119107944e-05,3.1982635446041746e-05,4.615171737596326e-05,-10.246610283416464,-10.350317444759366,-9.983576384794183,1.98465554384432e-05,1.5631000680664736e-05,0.0,0.0,0.0,2.3796738272414898e-09
2017-03-09,4.734319971648166e-05,3.9285812146617414e-05,4.6391295321763155e-05,-9.958087366038303,-10.144647118351312,-9.97839871715537,1.581530487379002e-05,3.1527894842691636e-05,0.0,0.0,0.0,1.189579389171305e-09
2017-03-10,4.5660076828839074e-05,3.7535296757803605e-05,4.614908373422302e-05,-9.994286234235064,-10.190228820808217,-9.983633451292182,3.1359517064766e-05,1.4300559764073073e-05,0.0,0.0,0.0,1.424237332897563e-09
2017-03-13,1.378926523044305e-05,3.1252348326972536e-05,4.307566410355998e-05,-11.191620150360146,-10.373416038142096,-10.052552358291067,4.615071653206973e-06,9.174193577236077e-06,-0.0008540309608081693,0.0,0.0,1.055927112373932e-10
2017-03-14,2.6000435204997354e-05,3.365410661997377e-05,4.198880153820785e-05,-10.557397281429138,-10.299375470093157,-10.078107605275685,9.191467199639292e-06,1.6808968005358063e-05,-0.005777979702084664,0.0,0.0,1.4444223338083895e-09
2017-03-15,1.8148708595633955e-05,3.0188337115278973e-05,4.12811393457965e-05,-10.916911151540525,-10.408054896409126,-10.095104836740735,1.3381415605688481e-05,4.767292989945474e-06,0.0,0.0,0.0,1.8429577031632415e-10
2017-03-16,0.00010257851457850676,4.1235400087684e-05,4.5059907170686596e-05,-9.18488205672306,-10.096213445102428,-10.007517683089093,9.322096048532501e-05,9.357554093181757e-06,0.0,0.0,0.0,1.0544619544180126e-08
2017-03-17,2.2715319191565555e-05,3.664644856022929e-05,4.443505656610172e-05,-10.692471006834662,-10.214194035821293,-10.021481837766842,8.99469798525811e-06,1.372062120630744e-05,0.0,0.0,0.0,5.183674729319009e-10
2017-03-20,2.5359255007056564e-05,3.8960446515552e-05,4.4422269215512665e-05,-10.582366805520106,-10.152963618384158,-10.02176965535678,5.534551114881935e-06,1.9824703892174628e-05,-0.0004620004702179633,0.0,0.0,3.5570520238788527e-10
2017-03-21,5.2387258950237275e-05,4.423781126459998e-05,4.4994683499247736e-05,-9.856847146007617,-10.025930676101567,-10.008966219634722,3.0280469971028533e-05,2.2106788979208743e-05,-0.004281464332949232,0.0,0.0,2.9394240419088185e-09
2017-03-22,9.531756798991437e-05,5.9671583143456054e-05,4.204414059707956e-05,-9.258296420222942,-9.726654645133909,-10.076790524962531,1.4798145488423351e-05,8.051942250149102e-05,-0.0009549049105988346,0.0,0.0,5.6493003999181576e-09
